"ident","type","name","latitude_deg","longitude_deg","iso_country"
"AGGH","large_airport","Honiara International","-9.428","160.054993","SB"
"AGGM","medium_airport","Munda","-8.32797","157.263","SB"
"ANYN","medium_airport","Nauru International","-0.547893","166.919525","NR"
"AQBC","medium_airport","Boulder Clay Runway","-74.739373","164.03539","AQ"
"AYBA","medium_airport","Baimuru","-7.496955","144.821756","PG"
"AYBK","medium_airport","Buka","-5.422299","154.672698","PG"
"AYBM","medium_airport","Balimo","-8.050000191","142.9329987","PG"
"AYCH","medium_airport","Chimbu","-6.024290085","144.970993","PG"
"AYDU","medium_airport","Daru","-9.08676","143.207993","PG"
"AYGA","medium_airport","Goroka","-6.081689835","145.3919983","PG"
"AYGN","medium_airport","Gurney","-10.3114996","150.3339996","PG"
"AYGR","medium_airport","Girua","-8.80453968","148.3090057","PG"
"AYHK","medium_airport","Hoskins","-5.463846","150.407327","PG"
"AYKM","medium_airport","Kerema","-7.963610172","145.7709961","PG"
"AYKV","medium_airport","Kavieng","-2.579400063","150.8079987","PG"
"AYMD","medium_airport","Madang","-5.207079887","145.7890015","PG"
"AYMH","medium_airport","Mount Hagen Kagamuga","-5.828212","144.299412","PG"
"AYMN","medium_airport","Mendi","-6.14774","143.656998","PG"
"AYMO","medium_airport","Momote","-2.06189","147.423996","PG"
"AYNZ","large_airport","Nadzab Tomodachi International","-6.567995","146.726544","PG"
"AYPY","large_airport","Port Moresby Jacksons International","-9.443380356","147.2200012","PG"
"AYTK","medium_airport","Tokua","-4.34046","152.380005","PG"
"AYVN","medium_airport","Vanimo","-2.6926","141.3028","PG"
"AYWD","medium_airport","Wapenamanda","-5.635293","143.892231","PG"
"AYWK","medium_airport","Wewak International","-3.583830118","143.6690063","PG"
"BGAA","medium_airport","Aasiaat","68.721802","-52.784698","GL"
"BGCO","medium_airport","Neerlerit Inaat","70.743103","-22.650499","GL"
"BGGH","large_airport","Nuuk International","64.191066","-51.67914","GL"
"BGJN","medium_airport","Ilulissat","69.243202","-51.057098","GL"
"BGKK","medium_airport","Kulusuk","65.573601","-37.1236","GL"
"BGQQ","medium_airport","Qaanaaq","77.488602","-69.388702","GL"
"BGSF","medium_airport","Kangerlussuaq International","67.010446","-50.715294","GL"
"BGSS","medium_airport","Sisimiut","66.951302","-53.729301","GL"
"BGTL","medium_airport","Pituffik Space Base","76.53063","-68.700541","GL"
"BIAR","large_airport","Akureyri International","65.656573","-18.072018","IS"
"BIBD","medium_airport","Bildudalur","65.641296","-23.5462","IS"
"BIEG","medium_airport","Egilsstaðir","65.28330231","-14.40139961","IS"
"BIGR","medium_airport","Grímsey","66.5458","-18.0173","IS"
"BIHN","medium_airport","Hornafjörður","64.295601","-15.2272","IS"
"BIHU","medium_airport","Húsavík","65.952301","-17.426001","IS"
"BIIS","medium_airport","Ísafjörður","66.058098","-23.1353","IS"
"BIKF","large_airport","Keflavik International","63.985001","-22.6056","IS"
"BIRK","medium_airport","Reykjavík Domestic","64.128732","-21.93759","IS"
"BIRL","medium_airport","Mývatn","65.6558","-16.9181","IS"
"BISI","medium_airport","Siglufjörður","66.137847","-18.908157","IS"
"BIVM","medium_airport","Vestmannaeyjar","63.42430115","-20.27890015","IS"
"BIVO","medium_airport","Vopnafjörður","65.720596","-14.8506","IS"
"BKPR","large_airport","Priština Adem Jashari International","42.5728","21.035801","XK"
