icao,stand,lat,lon,type
AGGH,1,-9.42890833,160.04452222,STAND
AGGH,1A,-9.42891389,160.04465556,STAND
AGGH,2,-9.42875278,160.04491111,STAND
AGGH,3,-9.42860000,160.04531389,STAND
AGGH,4,-9.42843889,160.04568611,STAND
AYBK,1,-5.42071111,154.67586389,STAND
AYBK,2,-5.42041111,154.67640833,STAND
AYBK,ISOL,-5.42003056,154.67580000,STAND
AYDU,1,-9.08650000,143.20888889,STAND
AYDU,2,-9.08602778,143.20897222,STAND
AYGR,1,-8.80713611,148.30832778,STAND
AYGR,2,-8.80680278,148.30858333,STAND
AYHK,1,-5.45741667,150.40255556,STAND
AYHK,2,-5.45777778,150.40300000,STAND
AYHK,3,-5.45813889,150.40330556,STAND
AYHK,ISOLA,-5.45658333,150.40755556,STAND
AYKV,1,-2.57997222,150.80612500,STAND
AYKV,2,-2.58033333,150.80663611,STAND
AYKV,3,-2.58064167,150.80707500,STAND
AYKY,1,-3.04283333,152.62725833,STAND
AYKY,2,-3.04308889,152.62751944,STAND
AYKY,3,-3.04358889,152.62805556,STAND
AYMD,1,-5.21200278,145.78523611,STAND
AYMD,2,-5.21187222,145.78569722,STAND
AYMD,3,-5.21174444,145.78617778,STAND
AYMD,4,-5.20999167,145.78766667,STAND
AYMD,5,-5.20985000,145.78823611,STAND
AYMD,6,-5.20969722,145.78883889,STAND
AYMD,7,-5.20953333,145.78945556,STAND
AYMH,1,-5.82919722,144.29781389,STAND
AYMH,2,-5.82897500,144.29745278,STAND
AYMH,3,-5.82861389,144.29697500,STAND
AYMH,4,-5.82838889,144.29656111,STAND
AYMN,1,-6.14329167,143.65750278,STAND
AYMN,2,-6.14391944,143.65758056,STAND
AYMN,3,-6.14452778,143.65765000,STAND
AYMN,ISOL,-6.14466667,143.65772500,STAND
AYMR,ISOLB,-6.36376667,143.23778889,STAND
AYMR,N1,-6.36091111,143.23099444,STAND
AYMR,N2,-6.36134444,143.23100000,STAND
AYMR,N3,-6.36096667,143.23198611,STAND
AYMR,S1,-6.36406389,143.23902222,STAND
AYNZ,1,-6.56620556,146.73071389,STAND
AYNZ,10,-6.56440278,146.72649167,STAND
AYNZ,11,-6.56390556,146.72649167,STAND
AYNZ,12,-6.56341111,146.72653056,STAND
AYNZ,2,-6.56617500,146.73035000,STAND
AYNZ,3,-6.56614167,146.72998333,STAND
AYNZ,4,-6.56611111,146.72961944,STAND
AYNZ,5,-6.56594722,146.72917500,STAND
AYNZ,6,-6.56590556,146.72868056,STAND
AYNZ,7,-6.56590556,146.72817500,STAND
AYNZ,8,-6.56586389,146.72768056,STAND
AYNZ,9,-6.56581389,146.72718333,STAND
AYNZ,ISOLA,-6.56766111,146.71636944,STAND
AYPY,1,-9.43908333,147.21230000,STAND
AYPY,10,-9.43636667,147.21131667,STAND
AYPY,11,-9.43663333,147.21125000,STAND
AYPY,12,-9.43678333,147.21080000,STAND
AYPY,13,-9.43591667,147.21038333,STAND
AYPY,14,-9.43566667,147.21068333,STAND
AYPY,15,-9.43548333,147.21093333,STAND
AYPY,16,-9.43530000,147.21116667,STAND
AYPY,17,-9.43488333,147.21100000,STAND
AYPY,18,-9.43510000,147.21068333,STAND
AYPY,19,-9.43530000,147.21038333,STAND
AYPY,2,-9.43881667,147.21198333,STAND
AYPY,20,-9.43551667,147.21003333,STAND
AYPY,21A,-9.44880000,147.21856667,STAND
AYPY,21B,-9.44840000,147.21821667,STAND
AYPY,22,-9.44716667,147.21705000,STAND
AYPY,23,-9.44658333,147.21670000,STAND
AYPY,24,-9.44600000,147.21633333,STAND
AYPY,25,-9.44540000,147.21598333,STAND
AYPY,26,-9.44481667,147.21563333,STAND
AYPY,27,-9.44190000,147.21373333,STAND
AYPY,28,-9.44150000,147.21348333,STAND
AYPY,3,-9.43828333,147.21170000,STAND
AYPY,4,-9.43780000,147.21140000,STAND
AYPY,5,-9.43743333,147.21100000,STAND
AYPY,6,-9.43698333,147.21106667,STAND
AYPY,7,-9.43668333,147.21145000,STAND
AYPY,8,-9.43643333,147.21181667,STAND
AYPY,9,-9.43605000,147.21168333,STAND
AYTA,1,-5.85033611,142.95030556,STAND
AYTA,2,-5.85057500,142.94997222,STAND
AYTA,3,-5.84462778,142.94633611,STAND
AYTA,4,-5.84426389,142.94637778,STAND
AYTB,1,-5.27766667,141.22683333,STAND
AYTB,2,-5.27750000,141.22716667,STAND
AYTB,3,-5.27783333,141.22750000,STAND
AYTB,4,-5.27716667,141.22733333,STAND
AYTB,5,-5.27816667,141.22716667,STAND
AYTK,1,-4.34270000,152.37746667,STAND
